meal_name,Calories,Proteins,Carbs,Fats,sugar_g,diet_type
Other,1806.0,106.05,267.68,71.63,31.77,Vegan
Other,1577.0,85.41,214.32,56.97,12.34,Vegetarian
Other,1608.0,98.11,246.04,65.48,42.81,Paleo
Other,2657.0,80.84,203.22,54.56,9.34,Paleo
Other,1470.0,133.05,332.79,88.43,23.78,Vegan
Other,2767.0,67.92,170.86,46.06,15.89,Keto
Other,1867.0,112.35,280.33,74.97,12.48,Low-Carb
Other,2191.0,105.41,262.57,70.37,2.87,Low-Carb
Other,2587.0,69.44,173.08,45.91,0.72,Vegan
Other,1247.0,76.76,191.06,50.71,50.02,Paleo
Other,2476.0,102.72,258.98,68.72,10.0,Keto
Other,2232.0,93.27,231.16,61.23,11.88,Keto
Other,2569.0,71.6,181.82,48.11,30.3,Vegan
Other,1726.0,147.77,369.71,98.38,35.84,Low-Carb
Other,2046.0,82.59,207.16,55.08,16.18,Low-Carb
Other,2455.0,118.86,298.25,79.54,25.56,Paleo
Other,1740.0,76.8,192.66,51.19,43.14,Paleo
Other,2166.0,92.99,233.62,62.41,27.8,Low-Carb
Other,1802.0,87.27,219.75,58.09,5.03,Vegetarian
Other,1716.0,99.4,247.96,66.24,16.21,Vegetarian
Other,2038.0,120.63,300.3,80.22,1.96,Vegan
Other,2212.0,103.91,256.65,68.88,10.7,Balanced
Other,2182.0,89.25,222.21,58.85,15.41,Paleo
Other,2410.0,69.19,174.44,46.48,0.81,Keto
Other,1510.0,71.05,177.97,47.3,7.67,Keto
Other,2269.0,118.4,296.87,79.38,15.56,Keto
Other,3016.0,79.79,198.29,52.85,43.02,Balanced
Other,2624.0,111.71,282.28,74.89,9.88,Vegan
Other,2601.0,128.81,321.28,85.61,7.3,Paleo
Other,1549.0,92.48,231.25,61.37,30.58,Low-Carb
Other,1981.0,82.81,207.11,55.52,4.58,Vegetarian
Other,1497.0,68.42,169.5,45.57,41.73,Paleo
Other,3255.0,122.78,304.8,81.51,44.74,Keto
Other,1741.0,80.05,202.57,53.22,35.39,Paleo
Other,1950.0,76.42,188.66,50.28,2.81,Balanced
